Sample,Gene,SE_Score
TCGA-WB-A822-01,KIRREL,-0.025900424
TCGA-2G-AAKM-01,KIRREL,-0.025899827
TCGA-RM-A68W-01,KIRREL,-0.025899827
TCGA-3A-A9IL-01,KIRREL,-0.025893271
TCGA-EL-A3D4-01,KIRREL,-0.025892586
TCGA-2G-AALG-01,KIRREL,-0.025890589
TCGA-W2-A7HF-01,KIRREL,-0.025888532
TCGA-W5-AA2R-01,KIRREL,-0.025868356
TCGA-S7-A7WP-01,KIRREL,-0.025854737
TCGA-RW-A67Y-01,KIRREL,-0.025840998
TCGA-P5-A5EU-01,TBC1D3,-0.02583754
TCGA-2G-AAGN-01,KIRREL,-0.02583015
TCGA-37-4129-01,KIRREL,-0.02583015
TCGA-77-A5FZ-01,KIRREL,-0.02583015
TCGA-98-A53C-01,KIRREL,-0.02583015
TCGA-BJ-A28T-01,KIRREL,-0.02583015
TCGA-DJ-A3UZ-01,KIRREL,-0.02583015
TCGA-ED-A627-01,KIRREL,-0.02583015
TCGA-EJ-A46E-01,KIRREL,-0.02583015
TCGA-EJ-A46H-01,KIRREL,-0.02583015
TCGA-EL-A3H3-01,KIRREL,-0.02583015
TCGA-IB-AAUV-01,KIRREL,-0.02583015
TCGA-IG-A4QT-01,KIRREL,-0.02583015
TCGA-P5-A5F6-01,KIRREL,-0.02583015
TCGA-SQ-A6I4-01,KIRREL,-0.02583015
TCGA-W4-A7U4-01,KIRREL,-0.02583015
TCGA-XF-AAN8-01,KIRREL,-0.02583015
TCGA-XM-A8RE-01,KIRREL,-0.02583015
TCGA-EM-A2CU-01,KIRREL,-0.025821328
TCGA-XE-AAOB-01,KIRREL,-0.025819689
TCGA-BJ-A4O8-01,TBC1D3,-0.025812626
TCGA-HT-7680-01,KIRREL,-0.025802076
TCGA-EM-A1YD-01,KIRREL,-0.025794744
TCGA-S7-A7WL-01,KIRREL,-0.025771111
TCGA-WC-A883-01,KIRREL,-0.025769085
TCGA-AC-A7VC-01,KIRREL,-0.025745004
TCGA-WZ-A8D5-01,KIRREL,-0.025744826
TCGA-QR-A706-01,KIRREL,-0.025743097
TCGA-SP-A6QD-01,KIRREL,-0.025739282
TCGA-HT-7880-01,TBC1D3,-0.025729418
TCGA-S7-A7WU-01,KIRREL,-0.025728405
TCGA-ET-A39J-01,TBC1D3,-0.025714397
TCGA-3U-A98G-01,KIRREL,-0.025713384
TCGA-EM-A2CJ-01,KIRREL,-0.025667965
TCGA-XU-AAXY-01,KIRREL,-0.025634587
TCGA-M7-A723-01,KIRREL,-0.025632322
TCGA-3T-AA9L-01,KIRREL,-0.025631875
TCGA-FY-A3TY-01,TBC1D3,-0.02563095
TCGA-QT-A69Q-01,KIRREL,-0.025621712
TCGA-HT-8015-01,KIRREL,-0.025615692
TCGA-WC-A87Y-01,KIRREL,-0.025603563
TCGA-DB-A75P-01,KIRREL,-0.025599241
TCGA-EJ-A6RA-01,KIRREL,-0.02559194
TCGA-FK-A3SG-01,KIRREL,-0.02558893
TCGA-ET-A25K-01,KIRREL,-0.0255754
TCGA-ET-A39S-01,KIRREL,-0.02557379
TCGA-SR-A6N0-01,KIRREL,-0.025558025
TCGA-2G-AAGY-01,KIRREL,-0.025545657
TCGA-DJ-A1QM-01,TBC1D3,-0.025538921
TCGA-BH-A0BS-01,KIRREL,-0.025535434
TCGA-FY-A3ON-01,TBC1D3,-0.025534391
TCGA-S7-A7X2-01,KIRREL,-0.025502235
TCGA-XU-A92Y-01,KIRREL,-0.025485843
TCGA-RD-A8N2-01,KIRREL,-0.025481313
TCGA-GE-A2C6-01,TBC1D3,-0.025478125
TCGA-2G-AALX-01,KIRREL,-0.02547437
TCGA-X7-A8D7-01,KIRREL,-0.025460184
TCGA-49-AARR-01,KIRREL,-0.025456488
TCGA-EL-A3ZS-01,KIRREL,-0.025451362
TCGA-4V-A9QT-01,KIRREL,-0.025444299
TCGA-SP-A6QI-01,KIRREL,-0.02543822
TCGA-EW-A1P1-01,KIRREL,-0.025406927
TCGA-VM-A8C9-01,KIRREL,-0.025406808
TCGA-QR-A6H6-01,KIRREL,-0.025406063
TCGA-AC-A2FK-01,KIRREL,-0.025392026
TCGA-E9-A1RI-01,KIRREL,-0.025387079
TCGA-OL-A6VR-01,KIRREL,-0.02535054
TCGA-EL-A4KD-01,KIRREL,-0.025337756
TCGA-DE-A2OL-01,KIRREL,-0.025322616
TCGA-S7-A7X1-01,KIRREL,-0.025319636
TCGA-TT-A6YN-01,KIRREL,-0.025311917
TCGA-2G-AALT-01,KIRREL,-0.025303006
TCGA-3G-AB0T-01,KIRREL,-0.025303006
TCGA-E8-A438-01,KIRREL,-0.02530229
TCGA-V4-A9ED-01,KIRREL,-0.025298327
TCGA-RW-A7CZ-01,KIRREL,-0.025292337
TCGA-FY-A40K-01,MAP4K4,-0.025282428
TCGA-IB-AAUR-01,KIRREL,-0.025280118
TCGA-J8-A3YD-01,KIRREL,-0.02527216
TCGA-EL-A3GZ-01,MAP4K4,-0.025268465
TCGA-FE-A3PC-01,TBC1D3,-0.025252223
TCGA-DX-A3U6-01,KIRREL,-0.025250137
TCGA-2G-AAF4-01,KIRREL,-0.025239706
TCGA-RD-A8N0-01,KIRREL,-0.02522242
TCGA-AN-A0XP-01,KIRREL,-0.025219858
TCGA-EM-A4FH-01,KIRREL,-0.025203317
TCGA-EL-A3H2-01,KIRREL,-0.025202125
TCGA-KS-A4I7-01,TBC1D3,-0.02519989
TCGA-AR-A24W-01,KIRREL,-0.025173217
TCGA-ET-A39O-01,TBC1D3,-0.025162935
TCGA-WB-A80Q-01,KIRREL,-0.025159776
TCGA-KN-8431-01,KIRREL,-0.02515456
TCGA-5G-A9ZZ-01,KIRREL,-0.02513647
TCGA-V3-A9ZX-01,KIRREL,-0.025133908
TCGA-A2-A0EP-01,KIRREL,-0.025133133
TCGA-CN-6017-01,KIRREL,-0.025131851
TCGA-WB-A80M-01,KIRREL,-0.025130391
TCGA-85-A4PA-01,KIRREL,-0.025129557
TCGA-ZM-AA0B-01,KIRREL,-0.025128007
TCGA-FY-A3R6-01,KIRREL,-0.02512443
TCGA-DA-A1IB-06,TBC1D3,-0.025122404
TCGA-SR-A6MS-01,KIRREL,-0.025106162
TCGA-55-6980-01,KIRREL,-0.025103807
TCGA-H9-A6BX-01,KIRREL,-0.025093824
TCGA-TS-A8AS-01,KIRREL,-0.025089085
TCGA-4K-AAAL-01,KIRREL,-0.02506736
TCGA-HZ-7920-01,KIRREL,-0.025060564
TCGA-4V-A9QN-01,KIRREL,-0.025039256
TCGA-WB-A80P-01,KIRREL,-0.025036365
TCGA-BH-A0BM-01,KIRREL,-0.025032043
TCGA-DJ-A2PQ-01,TBC1D3,-0.025032043
TCGA-IM-A3ED-01,TBC1D3,-0.025028229
TCGA-ET-A3DT-01,KIRREL,-0.025026768
TCGA-AR-A252-01,KIRREL,-0.025024503
TCGA-P8-A6RY-01,KIRREL,-0.025023192
