Sample,Gene,SE_Score
NCIH1581,GART,-0.003994584
A2058,PFAS,-0.0039838552
NCIH1568,TYMS,-0.0039660037
HS944T,YPEL5,-0.0039471984
U937,SDHB,-0.003936529
SKMES1,ADSL,-0.003932476
NALM6,MYB,-0.0039229393
NCIH2452,TAF5L,-0.0039181337
CAS1,TRAF2,-0.0039160997
NCIH2291,ADSL,-0.003909409
JJN3,TBC1D3,-0.0039058924
HT1376,SOD1,-0.0039013028
KNS62,TP53,-0.0038727522
JHH7,PAICS,-0.0038690567
NCIH1437,TFRC,-0.0038423538
UACC62,ATIC,-0.003834635
HCC1937,TFRC,-0.0038180351
P31FUJ,COQ4,-0.0038109422
COLO800,ATP1A1,-0.0038077831
SW837,CAD,-0.003806591
NCIH2087,BCS1L,-0.0038044453
ES2,TBC1D3,-0.0037876368
AGS,MYC,-0.0037755966
KS1,ADSL,-0.003770113
IGR1,TBC1D3,-0.0037676096
639V,PAICS,-0.0037497282
LK2,TFRC,-0.0037312508
EJM,UXS1,-0.0037153363
HT55,PAICS,-0.0037106872
MALME3M,GMPS,-0.0036942363
NOMO1,TP53,-0.003691256
NCIH838,GMPS,-0.0036746264
THP1,TP53,-0.0036726892
RPMI8226,TSC1,-0.0036665797
42MGBA,EARS2,-0.003648162
OAW28,UQCRC2,-0.0036355257
EPLC272H,TYMS,-0.0036069155
NCIH2126,UMPS,-0.0035966635
KARPAS422,NAMPT,-0.003584683
EFO21,TYMS,-0.0035409033
IPC298,GMPS,-0.0035198927
MDST8,PDCD10,-0.0035042763
SCABER,FBXO42,-0.0034722388
NCIH2170,ADSL,-0.0034278035
GB1,TBC1D3,-0.0034149885
CAL78,TP53,-0.003405705
EFO27,TP53,-0.0033585131
NCIH2030,TP53,-0.0033475757
NCIH1648,ADSL,-0.0033386946
KURAMOCHI,AMBRA1,-0.0033217221
HSC3,SETDB1,-0.0032806993
TOV21G,PPCDC,-0.0032753348
GAMG,CAND1,-0.0032697245
CALU6,TFRC,-0.0032227933
NCIH2172,TFRC,-0.0031804442
RPMI7951,NAMPT,-0.0031499118
KYSE510,MVK,-0.0031197667
SUPT1,PRKAR1A,-0.003110528
SNU449,TSC1,-0.0031087995
SNU182,BAP1,-0.0030929446
MELHO,WWTR1,-0.0030485988
647V,NAMPT,-0.0030000508
TE4,ADSL,-0.002986312
LP1,DTYMK,-0.002973318
WM115,PGD,-0.002954781
NCIH1573,PCYT1A,-0.0029262304
REH,IRF4,-0.0028829277
JHH1,PPCDC,-0.0028790683
SKOV3,NF2,-0.0028718263
HCC56,DTYMK,-0.0028437376
NCIH1792,OGDH,-0.002826959
COLO678,MYH9,-0.0028162003
ABC1,SDHB,-0.0027981997
G292CLONEA141B1,TP53,-0.0027896017
KM12,MYC,-0.0027825832
NCIH2110,TFRC,-0.0027749538
HARA,TP53,-0.0027680993
NCIH23,TFRC,-0.0027624369
MELJUSO,ATP1A1,-0.0027173758
HT115,PTEN,-0.0026885867
RKO,TFRC,-0.002686739
ESS1,YARS2,-0.0026712418
GI1,GMNN,-0.0025631785
PF382,MYB,-0.0024715662
NCIH441,EFR3A,-0.002462089
CAMA1,DHFR,-0.0023908615
SNGM,CAD,-0.0023690462
LN18,MVK,-0.0023418665
OVK18,DLD,-0.002316475
FU97,TFRC,-0.002268076
SW48,TBC1D3,-0.0022654533
S117,ADSL,-0.0021820962
LS180,ADSS,-0.0021790862
MDAMB415,DTYMK,-0.0021071434
MDAMB453,UMPS,-0.0020558834
EN,ATP6V1B2,-0.0018950701
MDAMB157,GMPS,-0.0018372536
LOVO,CCND2,-0.0018180609
COLO792,GMPS,-0.0018161535
MFE319,SMU1,-0.0017254353
CCK81,PGD,-0.0011561513
