Sample,Gene,SE_Score
NUGC3,POLG,-0.0093835
NCIH441,TRUB2,-0.0093643665
NB4,ATP5I,-0.009357035
HSC2,TBC1D3,-0.009318829
SUIT2,TAMM41,-0.00931108
ES2,TAMM41,-0.009166002
A3KAW,MRPL23,-0.009164631
MDAMB468,EARS2,-0.00912559
NCIH1648,ITGAV,-0.009111404
NCIH1792,FAM25A,-0.00908301
NCIH1299,TAMM41,-0.009075642
KLE,BIRC6,-0.009075582
LXF289,POLG,-0.009068608
THP1,TBC1D3,-0.009055018
P31FUJ,SSBP1,-0.009021282
MALME3M,FOSL1,-0.009000391
NCIH1693,ITGAV,-0.008986473
NCIH1703,TBC1D3,-0.008967638
HARA,TBC1D3,-0.008924723
NCIH1944,FERMT2,-0.008830786
BICR31,FERMT2,-0.008795917
BHY,LONP1,-0.0087502
NCIH2052,CCND1,-0.008746982
EPLC272H,FERMT2,-0.008720517
NCIH1581,MRPL23,-0.008657932
EFO21,CHMP4B,-0.00859946
GCT,MRPL17,-0.008570075
KNS62,POLG,-0.008554816
WM2664,MRPL17,-0.008554757
UACC257,TRUB2,-0.008426249
JHH1,NDUFA8,-0.008272946
CAL51,MAU2,-0.0082166195
SKMES1,FDXR,-0.008146405
NCIH2023,PET112,-0.008131847
DB,TBC1D3,-0.008078814
FADU,TBC1D3,-0.008050442
NCIH2030,FERMT2,-0.008011818
647V,MRPL33,-0.0079603195
ABC1,MARS2,-0.007890701
DU4475,BRAF,-0.0078083873
MM1S,SOD2,-0.0077718496
TE4,TBC1D3,-0.007581234
OSRC2,ITGAV,-0.0075639486
TE1,CDAN1,-0.00756371
CORL279,FERMT2,-0.007548094
KYSE410,POLG,-0.007531464
MDST8,TRMT61A,-0.007450342
NCIH838,GPX4,-0.0074308515
MDAMB157,FERMT2,-0.0074204206
REH,COQ4,-0.007340133
GB1,TBC1D3,-0.007240832
NCIH716,MRPL43,-0.007199168
CAOV3,WDR1,-0.0071339607
EKVX,PRKAR1A,-0.0071007162
SKOV3,TBC1D3,-0.007072568
IGR1,POLG,-0.0070260167
HT55,NDUFS1,-0.006984651
COLO679,TRUB2,-0.006973088
SNU1,PTPMT1,-0.0069578886
639V,TBC1D3,-0.0068928003
KS1,CNIH4,-0.0068537295
CHAGOK1,SARS2,-0.006685078
NOMO1,HSPA14,-0.0066512525
FU97,MTRF1L,-0.0066191554
NCIH2170,IKZF1,-0.0066052973
SNGM,TBC1D3,-0.0065555573
ESS1,TBC1D3,-0.006453991
NCIH23,TBC1D3,-0.0063815117
HCC202,NDUFB10,-0.006333351
NALM6,BCS1L,-0.006198883
NCIH2172,TBC1D3,-0.0061903
IPC298,WWTR1,-0.006004274
LOVO,POLG,-0.0059888363
AGS,TBC1D3,-0.0059211254
NCIH2291,FXN,-0.0057293773
MFE319,LONP1,-0.0051032305
MELJUSO,STK11,-0.005031824
SW48,TBC1D3,-0.004979372
NCIH2087,FERMT2,-0.00475955
OVTOKO,GLRX5,-0.0047464967
TOV21G,NDUFAF1,-0.0047320724
SUPT1,PRKAR1A,-0.004678756
LS180,TBC1D3,-0.0046696663
SKMEL24,C1orf109,-0.0045562983
NCIH1568,FERMT2,-0.004444301
SW1463,FXN,-0.0044057667
OVK18,TBC1D3,-0.0043439865
KM12,TBC1D3,-0.004282236
HSC3,ARHGEF12,-0.004223466
RKO,TBC1D3,-0.0041946173
PF382,IKZF1,-0.0040225983
CAMA1,TBC1D3,-0.003731966
MDAMB415,NDUFB6,-0.003706336
NCIH1573,TBC1D3,-0.0036981106
COLO792,PRKAR1A,-0.0036373734
DETROIT562,EIF3C,-0.0034117699
HCC15,VRK1,-0.0033448935
NCIH2126,NDUFS1,-0.003260672
COLO678,GFM1,-0.0031130612
NCIH2110,SOD2,-0.0028457642
EN,TGFBR2,-0.0027983189
CCK81,LSM10,-0.0021906793
HT115,FPGS,-0.0015259385
