Sample	Gene	SE_Score
TCGA-22-4605-01	LSM5	0.0059
TCGA-22-4607-01	ITGB5	0.0058
TCGA-22-4609-01	SEPSECS	0.0058
TCGA-22-4613-01	CASC3	0.0032
TCGA-22-5471-01	EP300	0.0079
TCGA-22-5472-01	EP300	0.0093
TCGA-22-5473-01	EP300	0.0042
TCGA-22-5474-01	ITGB5	0.0059
TCGA-22-5477-01	ELMO2	0.0046
TCGA-22-5478-01	EP300	0.0046
TCGA-22-5479-01	MDM2	0.0050
TCGA-22-5480-01	EP300	0.0092
TCGA-22-5481-01	EP300	0.0059
TCGA-22-5482-01	EP300	0.0090
TCGA-22-5483-01	CASC3	0.0056
TCGA-22-5485-01	NXT1	0.0028
TCGA-22-5489-01	EP300	0.0069
TCGA-22-5491-01	EP300	0.0061
TCGA-22-5492-01	EP300	0.0060
TCGA-22-A5C4-01	PSTK	0.0052
TCGA-23-1110-01	CDAN1	0.0038
TCGA-24-1431-01	FERMT2	0.0062
TCGA-25-1319-01	CDAN1	0.0050
TCGA-25-2397-01	ITGB5	0.0072
TCGA-25-2398-01	GPX4	0.0065
TCGA-26-1442-01	ELMO2	0.0065
TCGA-26-5132-01	ELMO2	0.0078
TCGA-26-5133-01	ITGB5	0.0075
TCGA-26-5134-01	ITGB5	0.0060
TCGA-26-5135-01	CDAN1	0.0050
TCGA-26-5136-01	ELMO2	0.0066
TCGA-26-5139-01	ITGB5	0.0060
TCGA-27-1830-01	CDAN1	0.0058
TCGA-27-1831-01	ELMO2	0.0056
TCGA-27-1832-01	ITGB5	0.0074
TCGA-27-1834-01	ITGB5	0.0072
TCGA-27-1835-01	ITGB5	0.0059
TCGA-27-1837-01	TIPARP	0.0067
TCGA-27-2519-01	STK11	0.0049
TCGA-27-2521-01	CCDC101	0.0084
TCGA-27-2523-01	STK11	0.0077
TCGA-27-2524-01	ITGB5	0.0081
TCGA-27-2526-01	CFLAR	0.0065
TCGA-27-2528-01	MAU2	0.0070
TCGA-28-1747-01	ITGB5	0.0060
TCGA-28-1753-01	ZMYND8	0.0039
TCGA-28-2509-01	CDAN1	0.0062
TCGA-28-2510-01	ITGB5	0.0091
TCGA-28-2513-01	EP300	0.0061
TCGA-28-2514-01	ITGB5	0.0058
TCGA-28-5204-01	CCDC101	0.0106
TCGA-28-5207-01	ITGB5	0.0075
TCGA-28-5208-01	ELMO2	0.0089
TCGA-28-5209-01	ROCK2	0.0040
TCGA-28-5213-01	ITGB5	0.0077
TCGA-28-5215-01	ITGB5	0.0074
TCGA-28-5216-01	BCAR1	0.0087
TCGA-28-5218-01	ITGB5	0.0092
TCGA-28-5220-01	ITGB5	0.0091
TCGA-29-A5NZ-01	EP300	0.0056
TCGA-2A-A8VL-01	MAGOH	0.0062
TCGA-2A-A8VO-01	ITGB5	0.0068
TCGA-2A-A8VT-01	ITGB5	0.0085
TCGA-2A-A8VV-01	TIPARP	0.0094
TCGA-2A-A8VX-01	ITGB5	0.0095
TCGA-2A-A8W1-01	ITGB5	0.0083
TCGA-2A-A8W3-01	ITGB5	0.0096
TCGA-2A-AAYF-01	ITGB5	0.0086
TCGA-2A-AAYO-01	GGNBP2	0.0105
TCGA-2A-AAYU-01	ITGB5	0.0113
TCGA-2E-A9G8-01	ITGB5	0.0048
TCGA-2F-A9KO-01	NXT1	0.0025
TCGA-2F-A9KP-01	EP300	0.0060
TCGA-2F-A9KQ-01	CDAN1	0.0046
TCGA-2F-A9KR-01	EP300	0.0055
TCGA-2F-A9KT-01	EP300	0.0041
TCGA-2F-A9KW-01	EP300	0.0065
TCGA-2G-AAEW-01	ELMO2	0.0094
TCGA-2G-AAEX-01	BCAR1	0.0098
TCGA-2G-AAF1-01	ELMO2	0.0092
TCGA-2G-AAF4-01	ITGB5	0.0101
TCGA-2G-AAF6-01	BCAR1	0.0103
TCGA-2G-AAF8-01	ITGB5	0.0079
TCGA-2G-AAFG-01	ELMO2	0.0078
TCGA-2G-AAFH-01	ELMO2	0.0083
TCGA-2G-AAFI-01	TIPARP	0.0105
TCGA-2G-AAFJ-01	ITGB5	0.0079
TCGA-2G-AAFL-01	TIPARP	0.0106
TCGA-2G-AAFM-01	ITGB5	0.0092
TCGA-2G-AAFN-01	RHOA	0.0095
TCGA-2G-AAFO-01	TIPARP	0.0093
TCGA-2G-AAFV-01	ITGB5	0.0086
TCGA-2G-AAFY-01	RHOA	0.0085
TCGA-2G-AAFZ-01	RHOA	0.0085
TCGA-2G-AAG0-01	TIPARP	0.0093
TCGA-2G-AAG3-01	ITGB5	0.0102
TCGA-2G-AAG5-01	GGNBP2	0.0079
TCGA-2G-AAG6-01	ITGB5	0.0095
TCGA-2G-AAG7-01	BCAR1	0.0080
TCGA-2G-AAG8-01	ELMO2	0.0091
TCGA-2G-AAG9-01	ELMO2	0.0096
TCGA-2G-AAGA-01	ITGB5	0.0103
TCGA-2G-AAGC-01	RHOA	0.0082
TCGA-2G-AAGE-01	ELMO2	0.0079
TCGA-2G-AAGF-01	RHOA	0.0096
TCGA-2G-AAGG-01	ITGB5	0.0076
TCGA-2G-AAGI-01	ITGB5	0.0090
TCGA-2G-AAGJ-01	ITGB5	0.0068
TCGA-2G-AAGK-01	BCAR1	0.0098
TCGA-2G-AAGM-01	ELMO2	0.0101
TCGA-2G-AAGN-01	TIPARP	0.0091
TCGA-2G-AAGO-01	TIPARP	0.0084
TCGA-2G-AAGP-01	ELMO2	0.0066
TCGA-2G-AAGS-01	TIPARP	0.0098
TCGA-2G-AAGT-01	RHOA	0.0079
TCGA-2G-AAGV-01	ELMO2	0.0081
TCGA-2G-AAGW-01	ITGB5	0.0095
TCGA-2G-AAGX-01	GGNBP2	0.0100
TCGA-2G-AAGY-01	GGNBP2	0.0097
TCGA-2G-AAGZ-01	ITGB5	0.0087
TCGA-2G-AAH0-01	ITGB5	0.0104
TCGA-2G-AAH2-01	TIPARP	0.0083
TCGA-2G-AAH3-01	MAGOH	0.0068
TCGA-2G-AAH4-01	BCAR1	0.0102
TCGA-2G-AAH8-01	ITGB5	0.0076
TCGA-2G-AAHA-01	ELMO2	0.0090
TCGA-2G-AAHC-01	BCAR1	0.0096
TCGA-2G-AAHG-01	ELMO2	0.0098
TCGA-2G-AAHL-01	MYH9	0.0088
TCGA-2G-AAHN-01	ELMO2	0.0094
TCGA-2G-AAHP-01	ITGB5	0.0094
TCGA-2G-AAHT-01	ITGB5	0.0086
TCGA-2G-AAKD-01	TIPARP	0.0101
TCGA-2G-AAKG-01	BCAR1	0.0101
TCGA-2G-AAKH-01	ITGB5	0.0088
TCGA-2G-AAKL-01	ELMO2	0.0078
TCGA-2G-AAKM-01	RHOA	0.0098
TCGA-2G-AAKO-01	GGNBP2	0.0095
TCGA-2G-AAL5-01	ITGB5	0.0093
TCGA-2G-AAL7-01	ELMO2	0.0090
TCGA-2G-AALF-01	FCF1	0.0071
TCGA-2G-AALG-01	TIPARP	0.0118
TCGA-2G-AALN-01	RHOA	0.0109
TCGA-2G-AALO-01	RHOA	0.0103
TCGA-2G-AALP-01	ITGB5	0.0059
TCGA-2G-AALQ-01	ITGB5	0.0112
TCGA-2G-AALR-01	BCAR1	0.0090
TCGA-2G-AALS-01	GGNBP2	0.0095
TCGA-2G-AALT-01	TIPARP	0.0107
TCGA-2G-AALW-01	BCAR1	0.0087
TCGA-2G-AALX-01	TIPARP	0.0101
TCGA-2G-AALY-01	TIPARP	0.0107
TCGA-2G-AALZ-01	TIPARP	0.0094
TCGA-2G-AAM2-01	BCAR1	0.0101
TCGA-2G-AAM3-01	MAGOH	0.0061
TCGA-2G-AAM4-01	ITGB5	0.0070
TCGA-2H-A9GF-01	TXNRD1	0.0066
TCGA-2H-A9GH-01	ELMO2	0.0050
TCGA-2H-A9GI-01	EP300	0.0081
TCGA-2H-A9GJ-01	EP300	0.0051
TCGA-2H-A9GK-01	EP300	0.0046
TCGA-2H-A9GL-01	CHMP4B	0.0050
TCGA-2H-A9GM-01	GPX4	0.0067
TCGA-2H-A9GN-01	FERMT2	0.0059
TCGA-2H-A9GO-01	ITGB5	0.0072
TCGA-2H-A9GQ-01	EP300	0.0072
TCGA-2H-A9GR-01	EP300	0.0081
TCGA-2J-AAB1-01	ITGB5	0.0076
TCGA-2J-AAB4-01	BCAR1	0.0078
TCGA-2J-AAB6-01	STK11	0.0055
TCGA-2J-AAB8-01	GGNBP2	0.0062
TCGA-2J-AAB9-01	ITGB5	0.0117
TCGA-2J-AABA-01	UFM1	0.0075
TCGA-2J-AABE-01	ITGB5	0.0087
TCGA-2J-AABF-01	BCAR1	0.0092
TCGA-2J-AABH-01	ITGB5	0.0097
TCGA-2J-AABI-01	ITGB5	0.0089
TCGA-2J-AABK-01	BCAR1	0.0112
TCGA-2J-AABO-01	ELMO2	0.0063
TCGA-2J-AABP-01	CDAN1	0.0084
TCGA-2J-AABR-01	MAGOH	0.0086
TCGA-2J-AABT-01	ITGB5	0.0084
TCGA-2J-AABU-01	ELMO2	0.0087
TCGA-2J-AABV-01	ELMO2	0.0103
TCGA-2K-A9WE-01	GGNBP2	0.0072
TCGA-2L-AAQA-01	ELMO2	0.0082
TCGA-2L-AAQE-01	ELMO2	0.0074
TCGA-2L-AAQI-01	MAGOH	0.0075
TCGA-2L-AAQJ-01	ELMO2	0.0048
TCGA-2L-AAQL-01	ELMO2	0.0055
TCGA-2L-AAQM-01	BCAR1	0.0091
TCGA-2V-A95S-01	LSM5	0.0048
TCGA-2W-A8YY-01	SCO2	0.0019
TCGA-2X-A9D5-01	RHOA	0.0104
TCGA-2X-A9D6-01	ELMO2	0.0103
TCGA-2Y-A9GS-01	ITGB5	0.0065
TCGA-2Y-A9GT-01	MAGOH	0.0050
TCGA-2Y-A9GU-01	EP300	0.0095
TCGA-2Y-A9GV-01	ELMO2	0.0071
TCGA-2Y-A9GW-01	ITGB5	0.0065
TCGA-2Y-A9GX-01	ELMO2	0.0060
TCGA-2Y-A9GY-01	CTC1	0.0070
TCGA-2Y-A9GZ-01	ROCK2	0.0034
TCGA-2Y-A9H0-01	CDAN1	0.0051
TCGA-2Y-A9H1-01	TADA1	0.0040
TCGA-2Y-A9H2-01	ITGB5	0.0087
TCGA-2Y-A9H3-01	EP300	0.0088
TCGA-2Y-A9H4-01	ELMO2	0.0073
TCGA-2Y-A9H5-01	CEBPA	0.0046
TCGA-2Y-A9H6-01	ELMO2	0.0060
TCGA-2Y-A9H7-01	ITGB5	0.0057
TCGA-2Y-A9H8-01	CTC1	0.0041
TCGA-2Y-A9H9-01	CDAN1	0.0073
TCGA-2Y-A9HA-01	EP300	0.0069
TCGA-2Y-A9HB-01	ELMO2	0.0064
TCGA-2Z-A9J1-01	EP300	0.0060
TCGA-2Z-A9J2-01	CFLAR	0.0070
TCGA-2Z-A9J3-01	EP300	0.0042
TCGA-2Z-A9J5-01	COG3	0.0048
TCGA-2Z-A9J6-01	CFLAR	0.0063
TCGA-2Z-A9J7-01	ELMO2	0.0078
TCGA-2Z-A9J8-01	ITGB5	0.0065
TCGA-2Z-A9JD-01	TBC1D3C	0.0054
TCGA-2Z-A9JE-01	GGNBP2	0.0063
TCGA-2Z-A9JG-01	BCAR1	0.0058
TCGA-2Z-A9JI-01	TIPARP	0.0088
TCGA-2Z-A9JJ-01	ELMO2	0.0076
TCGA-2Z-A9JK-01	ZMYND8	0.0058
TCGA-2Z-A9JL-01	TBC1D3C	0.0078
TCGA-2Z-A9JM-01	MAGOH	0.0073
TCGA-2Z-A9JN-01	ELMO2	0.0090
TCGA-2Z-A9JO-01	ELMO2	0.0078
TCGA-2Z-A9JP-01	ELMO2	0.0052
TCGA-2Z-A9JQ-01	FERMT2	0.0041
TCGA-2Z-A9JR-01	ITGB5	0.0095
TCGA-2Z-A9JS-01	ELMO2	0.0048
