Sample,Gene,SE_Score
TCGA-ZM-AA0F-01,TP53,-0.08598888
TCGA-EM-A1CS-01,TP53,-0.0859541
TCGA-XM-A8RB-01,TP53,-0.08593166
TCGA-2G-AAKG-01,TP53,-0.085917145
TCGA-YT-A95G-01,TP53,-0.085903585
TCGA-XU-AAY1-01,TP53,-0.085893065
TCGA-VD-A8KO-01,TP53,-0.085886866
TCGA-FG-8189-01,TP53,-0.085861176
TCGA-BJ-A3F0-01,TP53,-0.085853666
TCGA-D8-A27E-01,TP53,-0.08585283
TCGA-SR-A6MZ-01,TP53,-0.08585051
TCGA-EJ-A46I-01,TP53,-0.08584353
TCGA-EL-A3ZS-01,TP53,-0.08576867
TCGA-WB-A81S-01,TP53,-0.0857546
TCGA-V4-A9EU-01,TP53,-0.085737854
TCGA-2G-AALY-01,TP53,-0.08572671
TCGA-YU-A90Y-01,TP53,-0.085691154
TCGA-OR-A5JL-01,TP53,-0.085686535
TCGA-S6-A8JX-01,TP53,-0.08567101
TCGA-VD-AA8S-01,TP53,-0.08566919
TCGA-TT-A6YO-01,TP53,-0.08566213
TCGA-WC-A883-01,TP53,-0.085650474
TCGA-2G-AAGI-01,TP53,-0.085645914
TCGA-EJ-7794-01,TP53,-0.08562526
TCGA-XU-A92X-01,TP53,-0.08561942
TCGA-OR-A5JR-01,TP53,-0.085603744
TCGA-XJ-A9DK-01,TP53,-0.08558196
TCGA-ZM-AA0E-01,TP53,-0.0855664
TCGA-WB-A819-01,TP53,-0.085558444
TCGA-EE-A2GK-06,TP53,-0.08555457
TCGA-EM-A2CK-01,TP53,-0.08554357
TCGA-EL-A4JZ-01,TP53,-0.0855352
TCGA-V4-A9F7-01,TP53,-0.08553165
TCGA-3Q-A9WF-01,TP53,-0.08552438
TCGA-IB-AAUR-01,TP53,-0.08548507
TCGA-RT-A6YC-01,TP53,-0.0854505
TCGA-MJ-A68J-01,TP53,-0.0854049
TCGA-XU-AAXW-01,TP53,-0.085395455
TCGA-BJ-A18Y-01,TP53,-0.08539149
TCGA-IB-7897-01,TP53,-0.085377485
TCGA-FX-A3NJ-01,TP53,-0.08537343
TCGA-EJ-5503-01,TP53,-0.085339904
TCGA-4K-AAAL-01,TP53,-0.08531809
TCGA-BH-A6R9-01,TP53,-0.0852983
TCGA-EM-A2CQ-01,TP53,-0.0852949
TCGA-AK-3427-01,TP53,-0.08529261
TCGA-P4-A5ED-01,TP53,-0.08529258
TCGA-V4-A9EL-01,TP53,-0.08528483
TCGA-QT-A69Q-01,TP53,-0.085262045
TCGA-FY-A3R8-01,TP53,-0.08524203
TCGA-V4-A9EA-01,TP53,-0.08523315
TCGA-P5-A5EY-01,TP53,-0.08522901
TCGA-BH-A8G0-01,TP53,-0.0852271
TCGA-WB-A816-01,TP53,-0.085215926
TCGA-XU-AAXY-01,TP53,-0.085211486
TCGA-3G-AB0O-01,TP53,-0.085204005
TCGA-EJ-A7NG-01,TP53,-0.085203856
TCGA-SP-A6QC-01,TP53,-0.08519822
TCGA-2X-A9D5-01,TP53,-0.08519325
TCGA-W2-A7HF-01,TP53,-0.08518776
TCGA-3T-AA9L-01,TP53,-0.085183084
TCGA-4V-A9QN-01,TP53,-0.085181445
TCGA-BJ-A0ZC-01,TP53,-0.08516577
TCGA-KS-A4I5-01,TP53,-0.08516572
TCGA-S7-A7WX-01,TP53,-0.08516413
TCGA-EL-A3H2-01,TP53,-0.0851008
TCGA-FE-A3PA-01,TP53,-0.08508927
TCGA-2G-AAH0-01,TP53,-0.08507249
TCGA-KN-8418-01,TP53,-0.0850611
TCGA-4V-A9QT-01,TP53,-0.085059494
TCGA-AO-A03U-01,TP53,-0.08503693
TCGA-DO-A1JZ-01,TP53,-0.08502695
TCGA-E8-A433-01,TP53,-0.08502555
TCGA-CE-A482-01,TP53,-0.08502267
TCGA-ET-A39M-01,TP53,-0.08501322
TCGA-QR-A70X-01,TP53,-0.08501151
TCGA-EM-A4FH-01,TP53,-0.084987104
TCGA-2G-AALT-01,TP53,-0.08490563
TCGA-OR-A5LA-01,TP53,-0.08490434
TCGA-55-8513-01,TP53,-0.08489415
TCGA-QT-A5XL-01,TP53,-0.084875315
TCGA-3A-A9IL-01,TP53,-0.084858924
TCGA-XE-A8H4-01,TP53,-0.084858805
TCGA-V4-A9ES-01,TP53,-0.08484921
