Model 1 Differences,Model 2 Differences
0.06264700000000001,0.0037960000000000216
0.113588,0.075044
0.207825,0.269123
0.030155000000000015,0.05915799999999999
0.394041,0.3538629999999999
0.355545,0.448845
0.13953200000000004,0.040291999999999994
0.06897299999999995,0.023216000000000014
0.119784,0.263951
0.12301600000000001,0.03156399999999998
0.07144499999999998,0.1095219999999999
0.24608799999999997,0.135934
0.063914,0.060019
0.06490599999999991,0.028291999999999984
0.009525000000000006,0.027966000000000046
0.10619300000000004,0.08538499999999999
0.27058899999999997,0.2153799999999999
0.12064799999999998,0.11094000000000004
0.349659,0.551239
0.08594800000000002,0.11682700000000001
0.08006999999999997,0.14645399999999997
0.11047000000000001,0.05806700000000001
0.15423599999999998,0.019614
0.204496,0.244737
0.12824400000000002,0.07489100000000004
0.02921600000000002,0.03207499999999999
0.076208,0.050068
0.144001,0.080346
0.09218700000000002,0.16981000000000002
0.357984,0.248028
0.10756399999999999,0.150432
0.247077,0.32399900000000004
0.029979,0.073994
0.10248700000000001,0.04637100000000001
0.009751999999999983,0.15689399999999998
0.076,0.02140299999999999
0.04374799999999998,0.08084300000000003
0.08584600000000009,0.015861000000000014
0.03079000000000004,0.06526500000000002
0.097164,0.062134999999999996
0.00813999999999998,0.09314
0.03629299999999999,0.025033
0.15877699999999995,0.16619199999999995
0.109444,0.05741299999999999
0.097387,0.268347
0.075264,0.12444299999999997
0.03763800000000006,0.039583000000000035
0.10722400000000001,0.088107
0.005301,0.022914999999999998
0.09242699999999998,0.10131299999999999
0.08391799999999996,0.24992299999999998
0.020827,0.033745
0.03187999999999999,0.07197300000000001
0.25065099999999996,0.371633
0.393821,0.541185
0.046061000000000005,0.05376
0.110624,0.08821200000000001
0.044125,0.07666300000000001
0.15336399999999994,0.19078300000000004
0.22927900000000007,0.13314400000000004
0.18543300000000001,0.299287
0.05851099999999998,0.19486499999999995
0.17353100000000002,0.18010400000000001
0.10748000000000002,0.031223
0.013797000000000004,0.15120300000000003
0.033465999999999996,0.043431
0.095409,0.17835199999999998
0.05751,0.017451
0.07520799999999994,0.08477699999999988
0.224499,0.13562399999999997
0.11436599999999997,0.572078
0.12320500000000001,0.02516299999999999
0.11724600000000002,0.13734600000000002
0.06762699999999999,0.11438999999999999
0.216003,0.25632
0.10192200000000001,0.140488
0.08403500000000003,0.07357000000000002
0.093617,0.0032609999999999584
0.18023000000000006,0.6057480000000001
0.139884,0.18207800000000002
0.18499199999999993,0.5971249999999999
0.12139499999999998,0.06578300000000001
0.016662000000000003,0.148858
0.307888,0.20915799999999996
0.074445,0.09249299999999999
0.416694,0.648556
0.30119,0.184721
0.0008900000000000019,0.05307299999999998
0.4248820000000001,0.492746
0.09154800000000002,0.106846
0.016739000000000004,0.13840799999999998
0.12642599999999998,0.04390399999999994
0.046301999999999954,0.10485599999999995
